rmse,mae,auroc,pred_auc,Model,Dataset,Miss_Rate,Seed,DB_Type
0.05154082651078851,0.01778724105371704,,,GAIN,spam,0.1,0,light
0.05356014742474089,0.02373993156096651,,,WGAN_FWAL,spam,0.1,0,light
0.05396579440202345,0.023141219276965153,,,KD,spam,0.1,0,light
0.051807586878758034,0.018940370368298397,,,Student_Baseline,spam,0.1,0,light
0.05200277820454165,0.018315886683095136,,,GAIN,spam,0.2,0,light
0.054102229123480707,0.024022013986122363,,,WGAN_FWAL,spam,0.2,0,light
0.054693495791683616,0.023739150455291545,,,KD,spam,0.2,0,light
0.05243881881564268,0.019013101606807237,,,Student_Baseline,spam,0.2,0,light
0.05155734772567623,0.018446440599068175,,,GAIN,spam,0.3,0,light
0.0543391899973307,0.024183036066474775,,,WGAN_FWAL,spam,0.3,0,light
0.05631355995961179,0.024175178532639945,,,KD,spam,0.3,0,light
0.052585826093712915,0.019124507768284945,,,Student_Baseline,spam,0.3,0,light
0.053493745845309824,0.019137154984381295,,,GAIN,spam,0.5,0,light
0.0571378931445877,0.023759967584596618,,,WGAN_FWAL,spam,0.5,0,light
0.05755667259167995,0.023146867973882646,,,KD,spam,0.5,0,light
0.05409770979588645,0.018801327373885953,,,Student_Baseline,spam,0.5,0,light
0.34054802446348514,0.12662298423661322,,0.8319396667340367,GAIN,credit,0.05,0,light
0.3088695776293985,0.10570371552006134,,0.8389290199724808,WGAN_FWAL,credit,0.05,0,light
0.31608477573632393,0.11068462861398394,,0.8431611241958301,KD,credit,0.05,0,light
0.33229698552985204,0.12013559135433496,,0.8137942241948746,Student_Baseline,credit,0.05,0,light
0.32520865407748256,0.11612377042564818,,0.8291373775942766,GAIN,credit,0.1,0,light
0.31330659327830174,0.10877277319901853,,0.8287884389769541,WGAN_FWAL,credit,0.1,0,light
0.30598508834493654,0.10391926746636743,,0.8283038940913503,KD,credit,0.1,0,light
0.3077922399937189,0.10444074454705848,,0.8508638940333331,Student_Baseline,credit,0.1,0,light
0.29292059664903797,0.0963648990068293,,0.8110336559441326,GAIN,credit,0.2,0,light
0.32154320323456537,0.11366128156332474,,0.7952341335259506,WGAN_FWAL,credit,0.2,0,light
0.3257603536257306,0.11667412933858735,,0.7994751288895238,KD,credit,0.2,0,light
0.3035581407731964,0.10184965810485712,,0.8319674332292974,Student_Baseline,credit,0.2,0,light
0.30735193914981546,0.1045548767208463,,0.7993291875522436,GAIN,credit,0.3,0,light
0.3314763698627238,0.12040462002574708,,0.8043567064739875,WGAN_FWAL,credit,0.3,0,light
0.3196526729603976,0.1124468492190471,,0.7933160436991764,KD,credit,0.3,0,light
0.302820503558805,0.1015591528938848,,0.8657723158391883,Student_Baseline,credit,0.3,0,light
0.33619793706803786,0.12598564969238882,,0.8037152367395498,GAIN,credit,0.5,0,light
0.333164222479106,0.12154416111822101,,0.7109712649171172,WGAN_FWAL,credit,0.5,0,light
0.3283108796448596,0.11821110038517921,,0.7051310101534651,KD,credit,0.5,0,light
0.3203948698173216,0.11320047844475604,,0.8195709620971948,Student_Baseline,credit,0.5,0,light
0.1738424287205634,0.12871309125281488,0.7904371584699453,,GAIN,wine,0.05,0,light
0.18470789500973012,0.14613613655368032,0.8180327868852458,,WGAN_FWAL,wine,0.05,0,light
0.16621976164133287,0.12366929293908084,0.8647540983606558,,KD,wine,0.05,0,light
0.18805668611326973,0.14810762587657156,0.7079234972677595,,Student_Baseline,wine,0.05,0,light
0.15612299069643115,0.11589073353950749,0.8284230176122068,,GAIN,wine,0.1,0,light
0.17378438326580703,0.13161183151015146,0.8214430646863081,,WGAN_FWAL,wine,0.1,0,light
0.1625283535173167,0.11693719466157752,0.8507426345264183,,KD,wine,0.1,0,light
0.1862675230439702,0.13999460772949276,0.710981251521792,,Student_Baseline,wine,0.1,0,light
0.19111801733818676,0.15084488398411083,0.7539573424494649,,GAIN,wine,0.2,0,light
0.17212786197519409,0.13273190941761762,0.8423008323424495,,WGAN_FWAL,wine,0.2,0,light
0.17565568220690161,0.13538213794109016,0.8380462247324614,,KD,wine,0.2,0,light
0.18961009777760546,0.1484877585721331,0.7764380202140307,,Student_Baseline,wine,0.2,0,light
0.19728499161420485,0.15420179364109474,0.7536503057235457,,GAIN,wine,0.3,0,light
0.19485492981676697,0.1542680113021448,0.779929165692138,,WGAN_FWAL,wine,0.3,0,light
0.18046484307914842,0.14046921861474537,0.8240084867519797,,KD,wine,0.3,0,light
0.1908868081962491,0.14953142862134558,0.7645594573824719,,Student_Baseline,wine,0.3,0,light
0.2092428777590489,0.16719471861932025,0.7122212695574973,,GAIN,wine,0.5,0,light
0.19911956940183542,0.1608383044551265,0.7143495630917416,,WGAN_FWAL,wine,0.5,0,light
0.19077722091785324,0.14936695085931528,0.761445658585232,,KD,wine,0.5,0,light
0.21217256527258493,0.16714636781976547,0.688308371490596,,Student_Baseline,wine,0.5,0,light
0.28834657067769076,0.1471666267928174,0.8819237478202189,0.725622690763607,GAIN,student,0.05,0,light
0.2666774430642495,0.13786329571376552,0.8733273644995201,0.7261793456532734,WGAN_FWAL,student,0.05,0,light
